,,,,
RCP85__EMISSIONS____________________________,,,,
COLUMN_DESCRIPTION________________________________________,,,,
"1. FossilCO2        - Fossil & Industrial CO2 (Fossil, Cement, Gas Flaring & Bunker Fuels)",,,,
COLUMN:,RCP85,RCP60,RCP45,RCP26
UNITS:,GtC/yr,GtC/yr,GtC/yr,GtC/yr
v YEARS/GAS >,FossilCO2,FossilCO2,FossilCO2,FossilCO2
2320,1.95186,1.11588,0.70858,-0.9308
2321,1.949748,1.113244,0.706994,-0.9308
2322,1.947636,1.110608,0.705408,-0.9308
2323,1.945524,1.107972,0.703822,-0.9308
2324,1.943412,1.105336,0.702236,-0.9308
2325,1.9413,1.1027,0.70065,-0.9308
2326,1.939188,1.100632,0.699064,-0.9308
2327,1.937076,1.098564,0.697478,-0.9308
2328,1.934964,1.096496,0.695892,-0.9308
2329,1.932852,1.094428,0.694306,-0.9308
2330,1.93074,1.09236,0.69272,-0.9308
2331,1.928628,1.090292,0.691134,-0.9308
2332,1.926516,1.088224,0.689548,-0.9308
2333,1.924404,1.086156,0.687962,-0.9308
2334,1.922292,1.084088,0.686376,-0.9308
2335,1.92018,1.08202,0.68479,-0.9308
2336,1.918068,1.079952,0.683204,-0.9308
2337,1.915956,1.077884,0.681618,-0.9308
2338,1.913844,1.075816,0.680032,-0.9308
2339,1.911732,1.073748,0.678446,-0.9308
2340,1.90962,1.07168,0.67686,-0.9308
2341,1.907508,1.069612,0.675274,-0.9308
2342,1.905396,1.067544,0.673688,-0.9308
2343,1.903284,1.065476,0.672102,-0.9308
2344,1.901172,1.063408,0.670516,-0.9308
2345,1.89906,1.06134,0.66893,-0.9308
2346,1.896948,1.059272,0.667344,-0.9308
2347,1.894836,1.057204,0.665758,-0.9308
2348,1.892724,1.055136,0.664172,-0.9308
2349,1.890612,1.053068,0.662586,-0.9308
2350,1.8885,1.051,0.661,-0.9308
2351,1.885994,1.049292,0.659886,-0.9308
2352,1.883488,1.047584,0.658772,-0.9308
2353,1.880982,1.045876,0.657658,-0.9308
2354,1.878476,1.044168,0.656544,-0.9308
2355,1.87597,1.04246,0.65543,-0.9308
2356,1.873464,1.040752,0.654316,-0.9308
2357,1.870958,1.039044,0.653202,-0.9308
2358,1.868452,1.037336,0.652088,-0.9308
2359,1.865946,1.035628,0.650974,-0.9308
2360,1.86344,1.03392,0.64986,-0.9308
2361,1.860934,1.032212,0.648746,-0.9308
2362,1.858428,1.030504,0.647632,-0.9308
2363,1.855922,1.028796,0.646518,-0.9308
2364,1.853416,1.027088,0.645404,-0.9308
2365,1.85091,1.02538,0.64429,-0.9308
2366,1.848404,1.023672,0.643176,-0.9308
2367,1.845898,1.021964,0.642062,-0.9308
2368,1.843392,1.020256,0.640948,-0.9308
2369,1.840886,1.018548,0.639834,-0.9308
2370,1.83838,1.01684,0.63872,-0.9308
2371,1.835874,1.015132,0.637606,-0.9308
2372,1.833368,1.013424,0.636492,-0.9308
2373,1.830862,1.011716,0.635378,-0.9308
2374,1.828356,1.010008,0.634264,-0.9308
2375,1.82585,1.0083,0.63315,-0.9308
2376,1.823344,1.006816,0.632036,-0.9308
2377,1.820838,1.005332,0.630922,-0.9308
2378,1.818332,1.003848,0.629808,-0.9308
2379,1.815826,1.002364,0.628694,-0.9308
2380,1.81332,1.00088,0.62758,-0.9308
2381,1.810814,0.999396,0.626466,-0.9308
2382,1.808308,0.997912,0.625352,-0.9308
2383,1.805802,0.996428,0.624238,-0.9308
2384,1.803296,0.994944,0.623124,-0.9308
2385,1.80079,0.99346,0.62201,-0.9308
2386,1.798284,0.991976,0.620896,-0.9308
2387,1.795778,0.990492,0.619782,-0.9308
2388,1.793272,0.989008,0.618668,-0.9308
2389,1.790766,0.987524,0.617554,-0.9308
2390,1.78826,0.98604,0.61644,-0.9308
2391,1.785754,0.984556,0.615326,-0.9308
2392,1.783248,0.983072,0.614212,-0.9308
2393,1.780742,0.981588,0.613098,-0.9308
2394,1.778236,0.980104,0.611984,-0.9308
2395,1.77573,0.97862,0.61087,-0.9308
2396,1.773224,0.977136,0.609756,-0.9308
2397,1.770718,0.975652,0.608642,-0.9308
2398,1.768212,0.974168,0.607528,-0.9308
2399,1.765706,0.972684,0.606414,-0.9308
2400,1.7632,0.9712,0.6053,-0.9308
2401,1.760278,0.969888,0.604434,-0.9308
2402,1.757356,0.968576,0.603568,-0.9308
2403,1.754434,0.967264,0.602702,-0.9308
2404,1.751512,0.965952,0.601836,-0.9308
2405,1.74859,0.96464,0.60097,-0.9308
2406,1.745668,0.963328,0.600104,-0.9308
2407,1.742746,0.962016,0.599238,-0.9308
2408,1.739824,0.960704,0.598372,-0.9308
2409,1.736902,0.959392,0.597506,-0.9308
2410,1.73398,0.95808,0.59664,-0.9308
2411,1.731058,0.956768,0.595774,-0.9308
2412,1.728136,0.955456,0.594908,-0.9308
2413,1.725214,0.954144,0.594042,-0.9308
2414,1.722292,0.952832,0.593176,-0.9308
2415,1.71937,0.95152,0.59231,-0.9308
2416,1.716448,0.950208,0.591444,-0.9308
2417,1.713526,0.948896,0.590578,-0.9308
2418,1.710604,0.947584,0.589712,-0.9308
2419,1.707682,0.946272,0.588846,-0.9308
2420,1.70476,0.94496,0.58798,-0.9308
2421,1.701838,0.943648,0.587114,-0.9308
2422,1.698916,0.942336,0.586248,-0.9308
2423,1.695994,0.941024,0.585382,-0.9308
2424,1.693072,0.939712,0.584516,-0.9308
2425,1.69015,0.9384,0.58365,-0.9308
2426,1.687228,0.937196,0.582784,-0.9308
2427,1.684306,0.935992,0.581918,-0.9308
2428,1.681384,0.934788,0.581052,-0.9308
2429,1.678462,0.933584,0.580186,-0.9308
2430,1.67554,0.93238,0.57932,-0.9308
2431,1.672618,0.931176,0.578454,-0.9308
2432,1.669696,0.929972,0.577588,-0.9308
2433,1.666774,0.928768,0.576722,-0.9308
2434,1.663852,0.927564,0.575856,-0.9308
2435,1.66093,0.92636,0.57499,-0.9308
2436,1.658008,0.925156,0.574124,-0.9308
2437,1.655086,0.923952,0.573258,-0.9308
2438,1.652164,0.922748,0.572392,-0.9308
2439,1.649242,0.921544,0.571526,-0.9308
2440,1.64632,0.92034,0.57066,-0.9308
2441,1.643398,0.919136,0.569794,-0.9308
2442,1.640476,0.917932,0.568928,-0.9308
2443,1.637554,0.916728,0.568062,-0.9308
2444,1.634632,0.915524,0.567196,-0.9308
2445,1.63171,0.91432,0.56633,-0.9308
2446,1.628788,0.913116,0.565464,-0.9308
2447,1.625866,0.911912,0.564598,-0.9308
2448,1.622944,0.910708,0.563732,-0.9308
2449,1.620022,0.909504,0.562866,-0.9308
2450,1.6171,0.9083,0.562,-0.9308
2451,1.61445,0.907176,0.56425,-0.9308
2452,1.6118,0.906052,0.5665,-0.9308
2453,1.60915,0.904928,0.56875,-0.9308
2454,1.6065,0.903804,0.571,-0.9308
2455,1.60385,0.90268,0.57325,-0.9308
2456,1.6012,0.901556,0.5755,-0.9308
2457,1.59855,0.900432,0.57775,-0.9308
2458,1.5959,0.899308,0.58,-0.9308
2459,1.59325,0.898184,0.58225,-0.9308
2460,1.5906,0.89706,0.5845,-0.9308
2461,1.58795,0.895936,0.58675,-0.9308
2462,1.5853,0.894812,0.589,-0.9308
2463,1.58265,0.893688,0.59125,-0.9308
2464,1.58,0.892564,0.5935,-0.9308
2465,1.57735,0.89144,0.59575,-0.9308
2466,1.5747,0.890316,0.598,-0.9308
2467,1.57205,0.889192,0.60025,-0.9308
2468,1.5694,0.888068,0.6025,-0.9308
2469,1.56675,0.886944,0.60475,-0.9308
2470,1.5641,0.88582,0.607,-0.9308
2471,1.56145,0.884696,0.60925,-0.9308
2472,1.5588,0.883572,0.6115,-0.9308
2473,1.55615,0.882448,0.61375,-0.9308
2474,1.5535,0.881324,0.616,-0.9308
2475,1.55085,0.8802,0.61825,-0.9308
2476,1.5482,0.879152,0.6205,-0.9308
2477,1.54555,0.878104,0.62275,-0.9308
2478,1.5429,0.877056,0.625,-0.9308
2479,1.54025,0.876008,0.62725,-0.9308
2480,1.5376,0.87496,0.6295,-0.9308
2481,1.53495,0.873912,0.63175,-0.9308
2482,1.5323,0.872864,0.634,-0.9308
2483,1.52965,0.871816,0.63625,-0.9308
2484,1.527,0.870768,0.6385,-0.9308
2485,1.52435,0.86972,0.64075,-0.9308
2486,1.5217,0.868672,0.643,-0.9308
2487,1.51905,0.867624,0.64525,-0.9308
2488,1.5164,0.866576,0.6475,-0.9308
2489,1.51375,0.865528,0.64975,-0.9308
2490,1.5111,0.86448,0.652,-0.9308
2491,1.50845,0.863432,0.65425,-0.9308
2492,1.5058,0.862384,0.6565,-0.9308
2493,1.50315,0.861336,0.65875,-0.9308
2494,1.5005,0.860288,0.661,-0.9308
2495,1.49785,0.85924,0.66325,-0.9308
2496,1.4952,0.858192,0.6655,-0.9308
2497,1.49255,0.857144,0.66775,-0.9308
2498,1.4899,0.856096,0.67,-0.9308
2499,1.48725,0.855048,0.67225,-0.9308
2500,1.4846,0.854,0.6745,-0.9308
